year,students
1948,"25,464"
1949,"26,433"
1950,"29,813"
1951,"30,462"
1952,"33,675"
1953,"33,833"
1954,"34,232"
1955,"36,494"
1956,"40,666"
1957,"43,391"
1958,"47,245"
1959,"48,486"
1960,"53,107"
1961,"58,086"
1962,"64,705"
1963,"74,814"
1964,"82,045"
1965,"82,709"
1966,"100,262"
1967,"110,315"
1968,"121,362"
1969,"134,959"
1970,"144,708"
1971,"140,126"
1972,"146,097"
1973,"151,066"
1974,"154,580"
1975,"179,344"
1976,"203,068"
1977,"235,509"
1978,"263,938"
1979,"286,343"
1980,"311,882"
1981,"326,299"
1982,"336,985"
1983,"338,894"
1984,"342,113"
1985,"343,777"
1986,"349,609"
1987,"356,187"
1988,"366,354"
1989,"386,851"
1990,"407,529"
1991,"419,585"
1992,"438,618"
1993,"449,749"
1994,"452,635"
1995,"453,787"
1996,"457,984"
1997,"481,280"
1998,"490,933"
1999,"514,723"
2000,"547,867"
2001,"582,996"
2002,"586,323"
2003,"572,509"
2004,"565,039"
2005,"564,766"
2006,"582,984"
2007,"623,805"
2008,"671,616"
2009,"690,923"
2010,"723,277"
2011,"764,495"
2012,"819,644"
2013,"886,052"
2014,"974,926"
2015,"1,043,839"
2016,"1,078,822"
2017,"1,094,792"
2018,"1,095,299"
2019,"1,075,496"
2020,"914,095"
2021,"948,519"
2022,"1,057,188"
2023,"1,126,690"
